game,platform,developer,genre,number_players,rating,release_date,metascore,user_score
Far Cry 5,PS4,Ubisoft Montreal,Action,Up to 12 ,M,27-Mar-18,81,68
Street Fighter: 30th Anniversary Collection,Switch,Capcom,Miscellaneous,2,T,29-May-18,81,76
Aragami: Shadow Edition,XONE,Lince Works,Action Adventure,2,M,5-Jun-18,81,54
Ys Origin,XONE,Falcom,Role-Playing,No Online Multiplayer,,11-Apr-18,81,62
The Darkside Detective,Switch,Spooky Doorway,Adventure,No Online Multiplayer,E,7-Feb-18,81,79
Battlefield V,PC,EA DICE,Action,Up to 64 ,M,15-Nov-18,81,28
Subnautica,XONE,Unknown Worlds Entertainment,Adventure,No Online Multiplayer,E10+,4-Dec-18,81,83
Rogue Legacy,Switch,Cellar Door Games,Action,No Online Multiplayer,,6-Nov-18,81,82
Hand of Fate 2,Switch,Defiant Development,Miscellaneous,No Online Multiplayer,T,17-Jul-18,81,83
Youropa,PC,frecle ApS,Action Adventure,No Online Multiplayer,,27-Jun-18,80,78
SoulCalibur VI,PC,"Bandai Namco Games, Project Soul",Action,2,T,18-Oct-18,80,46
Arena of Valor,Switch,"Tencent, Tencent Games",Strategy,Up to 10 ,T,25-Sep-18,80,75
Subnautica,PS4,"Unknown Worlds Entertainment, Panic Button",Adventure,No Online Multiplayer,E10+,4-Dec-18,80,76
Pinball FX3: Bethesda Pinball,Switch,Zen Studios,Action,,,4-Apr-18,80,76
Shin Megami Tensei: Strange Journey Redux,3DS,Atlus,General,No Online Multiplayer,M,15-May-18,80,32
N++,Switch,Metanet Software Inc.,Action,No Online Multiplayer,E10+,24-May-18,80,81
"Guns, Gore & Cannoli 2",PC,Crazy Monkey Studios,Action,Online Multiplayer,,2-Mar-18,80,76
The Banner Saga 1,Switch,Stoic,Strategy,No Online Multiplayer,T,17-May-18,80,81
Xenoblade Chronicles 2: Torna ~ The Golden Country,Switch,Monolith Soft,Role-Playing,,T,14-Sep-18,80,86
South Park: The Fractured But Whole,Switch,Ubisoft San Francisco,Role-Playing,No Online Multiplayer,M,24-Apr-18,80,79
Life is Strange: Before the Storm - Farewell,PS4,Deck Nine Games,Action Adventure,No Online Multiplayer,,5-Mar-18,80,73
OkunoKA,Switch,Caracal Games,Action,No Online Multiplayer,,30-Nov-18,80,81
The Gardens Between,PC,The Voxel Agents,Adventure,No Online Multiplayer,,19-Sep-18,80,71
Mega Man X Legacy Collection 1 + 2,PS4,Capcom,Miscellaneous,No Online Multiplayer,T,24-Jul-18,80,75
ABZU,Switch,Giant Squid,Adventure,No Online Multiplayer,E,29-Nov-18,80,80
Life is Strange 2: Episode 1 - Roads,PC,DONTNOD Entertainment,Action Adventure,No Online Multiplayer,,27-Sep-18,80,54
Mega Man X Legacy Collection 1 + 2,Switch,Capcom,Miscellaneous,No Online Multiplayer,T,24-Jul-18,80,84
Dragon's Crown Pro,PS4,Vanillaware,Action,Up to 4 ,T,15-May-18,80,78
Monster Hunter Generations Ultimate,Switch,Capcom,Role-Playing,Up to 4 ,T,28-Aug-18,80,84
Mutant Year Zero: Road to Eden,XONE,The Bearded Ladies Consulting,Strategy,No Online Multiplayer,,4-Dec-18,80,79
Mega Man 11,Switch,Capcom,Action,No Online Multiplayer,E10+,2-Oct-18,80,85
Octahedron,PS4,Demimonde,Action,No Online Multiplayer,E10+,20-Mar-18,80,61
This War of Mine: Complete Edition,Switch,11 bit studios,Strategy,No Online Multiplayer,M,27-Nov-18,80,79
Rogue Aces,Switch,Infinite State Games,Action,No Online Multiplayer,E10+,12-Apr-18,80,71
NHL 19,PS4,EA Sports,Sports,Up to 12 ,E10+,14-Sep-18,80,53
The Red Strings Club,PC,Deconstructeam,Adventure,No Online Multiplayer,,22-Jan-18,80,76
Street Fighter: 30th Anniversary Collection,XONE,Capcom,Miscellaneous,2,T,29-May-18,80,74
"Pokemon: Let's Go, Eevee!",Switch,Game Freak,Action RPG,Online Multiplayer,E,16-Nov-18,80,61
Madden NFL 19,PS4,EA Tiburon,Sports,Up to 6 ,E,10-Aug-18,80,23
Aaero: Complete Edition,Switch,Mad Fellows Ltd,Action,,,24-Dec-18,80,80
The Adventure Pals,XONE,Massive Monster,Action,No Online Multiplayer,E10+,3-Apr-18,80,76
The Golf Club 2019 featuring PGA Tour,XONE,HB Studios Multimedia,Sports,Up to 4 ,E,28-Aug-18,80,72
Armello,Switch,League of Geeks,Miscellaneous,Up to 4 ,E10+,27-Sep-18,80,72
Life is Strange 2: Episode 1 - Roads,XONE,DONTNOD Entertainment,Action Adventure,No Online Multiplayer,M,27-Sep-18,80,51
Pro Evolution Soccer 2019,PC,Konami,Sports,Up to 22 ,E,28-Aug-18,80,57
Pac-Man Championship Edition 2 Plus,Switch,Bandai Namco Games,Action,No Online Multiplayer,E,22-Feb-18,80,77
Lumines Remastered,PS4,Enhance Games,Puzzle,No Online Multiplayer,E10+,26-Jun-18,80,52
Unforeseen Incidents,PC,Backwoods Entertainment,Adventure,No Online Multiplayer,,24-May-18,80,72
FAR: Lone Sails,PC,Okomotive,Action,No Online Multiplayer,,17-May-18,80,77
Battle Chasers: Nightwar,Switch,Airship Syndicate Entertainment,Role-Playing,No Online Multiplayer,T,15-May-18,80,80
The Banner Saga 3,PS4,Stoic,Strategy,No Online Multiplayer,T,26-Jul-18,80,71
Minit,Switch,"JW, Kitty, Jukio, and Dom",Adventure,No Online Multiplayer,E,9-Aug-18,80,79
Layers of Fear: Legacy,Switch,Bloober Team,Adventure,No Online Multiplayer,M,21-Feb-18,80,80
Firewall Zero Hour,PS4,"Sony Interactive Entertainment, First Contact Entertainment",Action,Up to 8 ,T,28-Aug-18,79,83
Thronebreaker: The Witcher Tales,PS4,CD Projekt Red Studio,Role-Playing,Online Multiplayer,,4-Dec-18,79,70
Slayaway Camp: Butcher's Cut,Switch,Blue Wizard Digital,Puzzle,No Online Multiplayer,M,22-Mar-18,79,79
Detention,Switch,Red Candle Game,Adventure,No Online Multiplayer,M,1-Mar-18,79,80
A Way Out,XONE,Hazelight,Action Adventure,2,M,23-Mar-18,79,75
For the King,PC,IronOak Games,Role-Playing,Online Multiplayer,,19-Apr-18,79,73
Mega Man Legacy Collection + Mega Man Legacy Collection 2,Switch,Digital Eclipse,Miscellaneous,No Online Multiplayer,E10+,22-May-18,79,80
Skies of Fury DX,Switch,Seed Interactive,Simulation,No Online Multiplayer,E10+,12-Apr-18,79,73
Little Nightmares: Complete Edition,Switch,Tarsier Studios,Action Adventure,No Online Multiplayer,T,18-May-18,79,83
Subsurface Circular,Switch,Mike Bithell,Adventure,No Online Multiplayer,E10+,1-Mar-18,79,77
The Council - Episode 1: The Mad Ones,XONE,Big Bad Wolf,Adventure,No Online Multiplayer,M,13-Mar-18,79,74
Minit,PC,Devolver Digital,Adventure,No Online Multiplayer,,3-Apr-18,79,72
Runbow,Switch,13AM Games,Action,Up to 9 ,E,3-Jul-18,79,80
Death Road to Canada,Switch,Rocketcat Games,Action,No Online Multiplayer,T,8-May-18,79,76
"Pokemon: Let's Go, Pikachu!",Switch,Game Freak,Action RPG,Online Multiplayer,E,16-Nov-18,79,61
La-Mulana 2,PC,Nigoro,Action Adventure,No Online Multiplayer,,30-Jul-18,79,76
Archangel: Hellfire,PC,Skydance Interactive,Simulation,,,17-Jul-18,79,84
Crash Bandicoot N. Sane Trilogy,XONE,Vicarious Visions,Miscellaneous,No Online Multiplayer,E10+,29-Jun-18,79,69
The Awesome Adventures of Captain Spirit,PC,DONTNOD Entertainment,Action Adventure,No Online Multiplayer,,25-Jun-18,79,72
Pro Evolution Soccer 2019,PS4,Konami,Sports,Up to 22 ,E,28-Aug-18,79,66
Fire Pro Wrestling World,PS4,"Spike Chunsoft, ZEX corporation",Sports,Up to 8 ,T,28-Aug-18,79,71
"Warhammer 40,000: Mechanicus",PC,Bulwark Studios,Action,No Online Multiplayer,,15-Nov-18,79,77
FRAMED Collection,Switch,Loveshack Entertainment,Miscellaneous,No Online Multiplayer,E,17-May-18,79,80
Joe Dever's Lone Wolf,Switch,"Bulkypix, Forge Reply",Action,No Online Multiplayer,T,16-Feb-18,79,79
Mega Man 11,PC,Capcom,Action,No Online Multiplayer,E10+,2-Oct-18,79,75
Bleed 2,Switch,BootdiskRevolution,Action,No Online Multiplayer,T,8-Mar-18,79,78
Outlast 2,Switch,Red Barrels,Action Adventure,No Online Multiplayer,M,27-Mar-18,79,75
Semblance,PC,Nyamakop,Action,No Online Multiplayer,,24-Jul-18,79,68
Pit People,XONE,The Behemoth,Action,,T,2-Mar-18,79,74
Steredenn: Binary Stars,Switch,Plug In Digital,Action,No Online Multiplayer,E,8-Mar-18,79,78
Burnout Paradise Remastered,XONE,"Criterion Games, STELLAR ENTERTAINMENT SOFTWARE LTD",Racing,Up to 8 ,E10+,16-Mar-18,79,67
Sega Genesis Classics,Switch,Various,Miscellaneous,2,T,7-Dec-18,79,81
Bleed 2,PS4,BootdiskRevolution,Action,No Online Multiplayer,T,6-Feb-18,79,65
Captain Toad: Treasure Tracker,3DS,"Nintendo EAD Tokyo , Nintendo Software Technology",Action,No Online Multiplayer,E,13-Jul-18,79,76
Wolfenstein II: The New Colossus,Switch,"Panic Button, MachineGames",Action,No Online Multiplayer,M,29-Jun-18,79,79
World of Final Fantasy Maxima,Switch,Square Enix,Role-Playing,2,E10+,6-Nov-18,79,83
The Gardens Between,Switch,The Voxel Agents,Adventure,No Online Multiplayer,E,20-Sep-18,79,80
BlazBlue: Cross Tag Battle,Switch,Arc System Works,Action,Up to 8 ,T,5-Jun-18,79,78
World of Warcraft: Battle for Azeroth,PC,Blizzard Entertainment,Role-Playing,Massively Multiplayer,T,13-Aug-18,79,31
Sid Meier's Civilization VI: Rise and Fall,PC,Firaxis Games,Strategy,,,8-Feb-18,79,62
Tacoma,PS4,Fullbright,Adventure,No Online Multiplayer,M,8-May-18,79,66
EVERSPACE,PS4,ROCKFISH Games,Action Adventure,No Online Multiplayer,T,22-May-18,78,63
A Way Out,PS4,Hazelight,Action Adventure,2,M,23-Mar-18,78,80
BattleTech,PC,Harebrained Schemes LLC,Strategy,Online Multiplayer,,24-Apr-18,78,70
Detroit: Become Human,PS4,Quantic Dream,Action Adventure,No Online Multiplayer,M,25-May-18,78,86
For Honor: Marching Fire,PS4,Ubisoft,Action Adventure,,,16-Oct-18,78,36
Death Road to Canada,PS4,Rocketcat Games,Action,No Online Multiplayer,T,8-May-18,78,59
The Jackbox Party Pack 5,Switch,"Jackbox Games, Inc.",Miscellaneous,No Online Multiplayer,,17-Oct-18,78,80
Insurgency: Sandstorm,PC,New World Interactive,Strategy,Online Multiplayer,,12-Dec-18,78,87
Bridge Constructor Portal,PS4,ClockStone Software,Simulation,No Online Multiplayer,E10+,1-Mar-18,78,37
Forgotton Anne,PS4,Throughline Games,Adventure,No Online Multiplayer,E10+,15-May-18,78,65
Musynx,Switch,PM Studios Inc.,Action,No Online Multiplayer,E10+,19-Jun-18,78,80
Battlefield V,XONE,EA DICE,Action,Up to 64 ,M,15-Nov-18,78,26
Transference,PC,SpectreVision,Adventure,No Online Multiplayer,M,18-Sep-18,78,62
The Persistence,PS4,Firesprite,Adventure,No Online Multiplayer,,24-Jul-18,78,81
Mutant Year Zero: Road to Eden,PC,The Bearded Ladies Consulting,Strategy,No Online Multiplayer,,4-Dec-18,78,81
Capcom Beat 'Em Up Bundle,Switch,Capcom,Miscellaneous,Up to 4 ,T,18-Sep-18,78,81
Ashen,XONE,A44,Role-Playing,Online Multiplayer,,7-Dec-18,78,75
Mothergunship,PS4,Grip Digital,Action,Online Multiplayer,T,17-Jul-18,78,53
Sairento VR,PC,Mixed Realms Pte Ltd,Action,Online Multiplayer,,19-Jan-18,78,76
A Way Out,PC,Hazelight,Action,2,M,23-Mar-18,78,75
WarioWare Gold,3DS,Nintendo,Miscellaneous,No Online Multiplayer,E10+,3-Aug-18,78,79
Taiko no Tatsujin: Drum 'n' Fun!,Switch,Bandai Namco Games,Action,No Online Multiplayer,E,2-Nov-18,78,81
Cosmic Star Heroine,Switch,Zeboyd Games,Role-Playing,No Online Multiplayer,T,14-Aug-18,78,74
Pit People,PC,The Behemoth,Action,Online Multiplayer,,2-Mar-18,78,78
Kenshi,PC,Lo-Fi Games,General,No Online Multiplayer,,6-Dec-18,78,80
Q.U.B.E. 2,XONE,Toxic Games,Action,No Online Multiplayer,T,13-Mar-18,78,73
The Missing: JJ Macfield and the Island of Memories,PC,White Owls,Action,No Online Multiplayer,,11-Oct-18,78,64
Under Night In-Birth Exe:Late[st],PS4,French-Bread,Action,Up to 8 ,T,9-Feb-18,78,72
Project Warlock,PC,Buckshot Software,Action,No Online Multiplayer,,18-Oct-18,78,87
Immortal Redneck,XONE,"CremaGames, Crema Games",Action,No Online Multiplayer,M,27-Feb-18,78,80
The Forest,PS4,Endnight Studios,Action Adventure,Up to 4 ,M,6-Nov-18,78,68
My Brother Rabbit,XONE,Artifex Mundi,Puzzle,No Online Multiplayer,,21-Sep-18,78,69
ATOMIK: RunGunJumpGun,Switch,Gambitious,Action,No Online Multiplayer,E,8-Feb-18,78,80
Bridge Constructor Portal,XONE,ClockStone Software,Simulation,No Online Multiplayer,E10+,28-Feb-18,78,54
The Awesome Adventures of Captain Spirit,XONE,DONTNOD Entertainment,Action Adventure,No Online Multiplayer,,26-Jun-18,78,77
Far Cry 5,PC,Ubisoft Montreal,Action,Up to 12 ,M,27-Mar-18,78,60
Hyrule Warriors: Definitive Edition,Switch,Koei Tecmo Games,Action,No Online Multiplayer,T,18-May-18,78,81
Crash Bandicoot N. Sane Trilogy,Switch,"Vicarious Visions, Toys for Bob",Miscellaneous,No Online Multiplayer,E10+,29-Jun-18,78,83
EVERSPACE: Stellar Edition,Switch,ROCKFISH Games,Action Adventure,No Online Multiplayer,T,11-Dec-18,78,78
Starlink: Battle for Atlas,XONE,Ubisoft Toronto,Simulation,No Online Multiplayer,E10+,16-Oct-18,78,67
The Missing: JJ Macfield and the Island of Memories,PS4,White Owls,Action,No Online Multiplayer,,15-Oct-18,77,59
Railway Empire,XONE,Gaming Minds Studios,Simulation,No Online Multiplayer,E,30-Jan-18,77,70
Tower of Time,PC,Event Horizon Software,Role-Playing,No Online Multiplayer,,12-Apr-18,77,79
Horizon Chase Turbo,PS4,Aquiris Game Studio,Racing,No Online Multiplayer,E,15-May-18,77,78
Just Dance 2019,XONE,Ubisoft Paris,Action,No Online Multiplayer,E,23-Oct-18,77,47
No Man's Sky,XONE,Hello Games,Action Adventure,Up to 4 ,T,24-Jul-18,77,77
SNK 40th Anniversary Collection,Switch,SNK,Miscellaneous,No Online Multiplayer,T,13-Nov-18,77,81
Nintendo Labo: Toycon 01 Variety Kit,Switch,Nintendo,Miscellaneous,No Online Multiplayer,E,20-Apr-18,77,68
Mega Man 11,XONE,Capcom,Action,No Online Multiplayer,E10+,2-Oct-18,77,82
Bloodstained: Curse of the Moon,PC,Inti Creates,Action Adventure,No Online Multiplayer,E10+,24-May-18,77,73
EA Sports UFC 3,XONE,EA Sports,Sports,2,T,30-Jan-18,77,55
Pinstripe,Switch,Armor Games,Miscellaneous,No Online Multiplayer,,25-Oct-18,77,78
Final Fantasy XV: Royal Edition,PS4,Square Enix,Role-Playing,Up to 4 ,T,6-Mar-18,77,87
ONRUSH,XONE,Codemasters,Racing,,E10+,5-Jun-18,77,62
Little Red Lie,PS4,WZOGI,Adventure,No Online Multiplayer,M,9-Jan-18,77,37
Ancestors Legacy,PC,Destructive Creations,Strategy,Online Multiplayer,,22-May-18,77,74
11-11: Memories Retold,XONE,Digixart Entertainment,Adventure,No Online Multiplayer,T,9-Nov-18,77,77
Shadows: Awakening,PC,"Games Farm, Games Farm s.r.o.",Action,No Online Multiplayer,T,31-Aug-18,77,74
Bomb Chicken,Switch,Nitrome,Action,No Online Multiplayer,E10+,12-Jul-18,77,79
The Adventure Pals,Switch,Massive Monster,Action,No Online Multiplayer,E10+,3-Apr-18,77,78
The Sims 4: Get Famous,PC,Electronic Arts,Simulation,,,16-Nov-18,77,59
Wulverblade,XONE,Darkwind Media,Action,No Online Multiplayer,M,31-Jan-18,77,84
20XX,Switch,Batterystaple Games,Action,Online Multiplayer,E10+,10-Jul-18,77,79
11-11: Memories Retold,PS4,Digixart Entertainment,Adventure,No Online Multiplayer,,9-Nov-18,77,82
Unravel Two,PS4,Coldwood Interactive,Action,No Online Multiplayer,E,9-Jun-18,77,76
Shadow of the Tomb Raider,PC,Eidos Montreal,Action Adventure,No Online Multiplayer,M,14-Sep-18,77,69
Flashback,Switch,Paul Cuisset,Action,No Online Multiplayer,E10+,17-Jun-18,77,81
Outlast: Bundle of Terror,Switch,Red Barrels,Action Adventure,No Online Multiplayer,M,27-Feb-18,77,77
CastleStorm,Switch,Zen Studios,Strategy,2,T,16-Aug-18,77,78
Solo,PC,Team Gotham,Action,,,26-Apr-18,77,66
A Case of Distrust,PC,The Wandering Ben,Adventure,No Online Multiplayer,,8-Feb-18,77,50
Batman: The Enemy Within - Episode 4: What Ails You,PC,Telltale Games,Adventure,No Online Multiplayer,,22-Jan-18,77,74
Valiant Hearts: The Great War,Switch,Ubisoft Montpellier,Action,No Online Multiplayer,T,8-Nov-18,77,80
The Vanishing of Ethan Carter,XONE,The Astronauts,Adventure,No Online Multiplayer,M,19-Jan-18,77,80
Donut County,PC,Ben Esposito,Action Adventure,No Online Multiplayer,,28-Aug-18,77,76
Mega Man Legacy Collection 2,Switch,Capcom,Miscellaneous,No Online Multiplayer,E10+,22-May-18,77,73
Batman: The Enemy Within - Episode 4: What Ails You,PS4,Telltale Games,Adventure,No Online Multiplayer,M,22-Jan-18,77,67
Remothered: Tormented Fathers,PC,Stormind Games,Action Adventure,No Online Multiplayer,M,30-Jan-18,77,78
WWE 2K19,XONE,"Yuke's, Visual Concepts",Sports,Up to 6 ,T,5-Oct-18,77,46
WWE 2K19,PS4,"Yuke's, Visual Concepts",Sports,Up to 6 ,T,5-Oct-18,77,56
Mothergunship,XONE,Grip Digital,Action,Online Multiplayer,T,17-Jul-18,77,76
Football Manager Touch 2018,Switch,Sports Interactive,Sports,No Online Multiplayer,E,13-Apr-18,77,71
The World Ends with You: Final Remix,Switch,"h.a.n.d. Inc., Jupiter Corporation",Role-Playing,No Online Multiplayer,T,12-Oct-18,77,75
Blasters of the Universe,PS4,Secret Location,Action,No Online Multiplayer,T,27-Feb-18,76,74
Q.U.B.E. 2,PC,Toxic Games,Action,No Online Multiplayer,E,13-Mar-18,76,74
Disgaea 1 Complete,Switch,Nippon Ichi Software,Strategy,No Online Multiplayer,T,9-Oct-18,76,77
BlazBlue: Cross Tag Battle,PS4,Arc System Works,Action,Up to 8 ,T,5-Jun-18,76,65
Kerbal Space Program: Making History,PC,Squad,Simulation,,,13-Mar-18,76,65
Wizard of Legend,Switch,Contingent99,Role-Playing,2,E10+,15-May-18,76,78
Frozen Synapse 2,PC,Mode 7 Games,Strategy,Online Multiplayer,,13-Sep-18,76,72
Q.U.B.E. 2,PS4,Toxic Games,Sci-Fi,No Online Multiplayer,T,13-Mar-18,76,71
Unravel Two,PC,Coldwood Interactive,Action,No Online Multiplayer,E,9-Jun-18,76,61
NBA 2K19,PC,Visual Concepts,Arcade,Up to 10 ,E,6-Sep-18,76,26
Last Day of June,Switch,Ovosonico,Adventure,No Online Multiplayer,E,16-Mar-18,76,76
de Blob 2,XONE,Blue Tongue Entertainment,Action,No Online Multiplayer,E10+,27-Feb-18,76,73
The Walking Dead: The Telltale Series - The Final Season Episode 1: Done Running,PC,Telltale Games,Adventure,No Online Multiplayer,,14-Aug-18,76,76
Super Chariot,Switch,Frima Studio,Action,No Online Multiplayer,E,10-May-18,76,73
Friday the 13th: Killer Puzzle,Switch,Blue Wizard Digital,Puzzle,No Online Multiplayer,M,25-Oct-18,76,76
Crash Bandicoot N. Sane Trilogy,PC,Vicarious Visions,Miscellaneous,No Online Multiplayer,E10+,29-Jun-18,76,81
The Elder Scrolls Online: Summerset,PS4,ZeniMax Media,Role-Playing,,M,5-Jun-18,76,54
Masters of Anima,Switch,Passtech Games,Strategy,No Online Multiplayer,E10+,10-Apr-18,76,62
Wulverblade,PS4,Darkwind Media,Action,No Online Multiplayer,M,30-Jan-18,76,64
Super Mario Party,Switch,"Nintendo, Nd Cube",Miscellaneous,Online Multiplayer,E,5-Oct-18,76,75
Sushi Striker: The Way of Sushido,Switch,Indies Zero ,Puzzle,2,E,8-Jun-18,76,76
Candleman: The Complete Journey,PC,Spotlightor Interactive,Action,No Online Multiplayer,,31-Jan-18,76,70
Sundered: Eldritch Edition,Switch,Thunder Lotus Games,Action Adventure,No Online Multiplayer,E10+,21-Dec-18,76,78
Bombslinger,Switch,Mode4,Puzzle,No Online Multiplayer,E10+,11-Apr-18,76,65
Kingdom Come: Deliverance,PC,Warhorse Studios,Action Adventure,No Online Multiplayer,M,13-Feb-18,76,81
Mutant Year Zero: Road to Eden,PS4,The Bearded Ladies Consulting,Strategy,No Online Multiplayer,,4-Dec-18,76,76
Capcom Beat 'Em Up Bundle,XONE,Capcom,Miscellaneous,Up to 4 ,T,18-Sep-18,76,78
Surviving Mars,PC,Haemimont Games,Strategy,No Online Multiplayer,E10+,15-Mar-18,76,65
One Piece: Pirate Warriors 3 - Deluxe Edition,Switch,Koei Tecmo Games,Action,2,T,10-May-18,76,68
Planet Alpha,Switch,Adrian Lazar,Action,No Online Multiplayer,T,4-Sep-18,76,77
Marvel's Spider-Man: The Heist,PS4,Insomniac Games,Action Adventure,No Online Multiplayer,T,23-Oct-18,76,67
Surviving Mars,XONE,Haemimont Games,Strategy,No Online Multiplayer,E10+,15-Mar-18,76,65
Pode,Switch,Henchman & Goon,Adventure,No Online Multiplayer,E,21-Jun-18,76,81
Aggressors: Ancient Rome,PC,Kubat Software,Strategy,No Online Multiplayer,,30-Aug-18,76,79
Forgotton Anne,PC,Throughline Games,Adventure,No Online Multiplayer,,15-May-18,76,69
Artifact,PC,Valve Software,Strategy,Online Multiplayer,,28-Nov-18,76,21
RIDE 3,XONE,"MileStone Inc., Milestone S.r.l",Racing,Up to 12 ,,30-Nov-18,76,84
Jurassic World Evolution,XONE,Frontier Developments,Strategy,No Online Multiplayer,T,12-Jun-18,76,62
Shenmue I & II,PC,"Sega, d3t Ltd",Miscellaneous,No Online Multiplayer,T,21-Aug-18,76,85
Horizon Chase Turbo,PC,Aquiris Game Studio,Racing,No Online Multiplayer,,15-May-18,76,81
Shadow Bug,Switch,Muro Studios Ltd.,Action,No Online Multiplayer,E10+,30-Mar-18,75,54
A Total War Saga: Thrones of Britannia,PC,Creative Assembly,Strategy,Online Multiplayer,,2-May-18,75,53
MXGP Pro,XONE,Milestone S.r.l,Racing,Up to 12 ,E,10-Jul-18,75,69
Prey: Mooncrash,PC,Arkane Studios,Action,,,10-Jun-18,75,61
Star Control: Origins,PC,Stardock,Strategy,Online Multiplayer,,20-Sep-18,75,57
SteamWorld Dig: A Fistful of Dirt,Switch,Image & Form,Action,No Online Multiplayer,E10+,1-Feb-18,75,75
Shadow of the Tomb Raider,PS4,Eidos Montreal,Action Adventure,2,M,12-Sep-18,75,73
The Awesome Adventures of Captain Spirit,PS4,DONTNOD Entertainment,Action Adventure,No Online Multiplayer,M,25-Jun-18,75,71
Strange Brigade,XONE,Rebellion,Action,Up to 4 ,T,28-Aug-18,75,59
Tempest 4000,XONE,Llamasoft,Action,No Online Multiplayer,E,17-Jul-18,75,68
Wasteland 2: Director's Cut,Switch,InXile Entertainment,Role-Playing,No Online Multiplayer,M,13-Sep-18,75,79
EA Sports UFC 3,PS4,EA Sports,Sports,2,T,30-Jan-18,75,36
Mario Tennis Aces,Switch,Camelot Software Planning,Sports,Up to 4 ,E,22-Jun-18,75,71
The Walking Dead: The Telltale Series - The Final Season Episode 1: Done Running,PS4,Telltale Games,Adventure,No Online Multiplayer,,14-Aug-18,75,68
Sega Genesis Classics,PS4,"Various, D3T Limited",Miscellaneous,2,T,29-May-18,75,72
Hakuoki: Edo Blossoms,VITA,Otomate,Adventure,,M,13-Mar-18,75,67
The Golf Club 2019 featuring PGA Tour,PS4,HB Studios Multimedia,Sports,Up to 4 ,E,28-Aug-18,75,64
Tesla vs Lovecraft,XONE,10tons,Action,No Online Multiplayer,T,16-Mar-18,75,73
Remothered: Tormented Fathers,PS4,Stormind Games,Action Adventure,No Online Multiplayer,M,25-Jul-18,75,81
Old School Musical,Switch,La Moutarde,Action,Up to 4 ,E10+,13-Sep-18,75,76
Cattails,Switch,Falcon Development,Role-Playing,No Online Multiplayer,,29-Nov-18,75,78
Bomber Crew,Switch,Runner Duck,Simulation,No Online Multiplayer,E10+,10-Jul-18,75,76
Donut County,PS4,Ben Esposito,Action Adventure,No Online Multiplayer,E,28-Aug-18,75,63
Creed: Rise to Glory,PS4,Survios,Sports,2,,25-Sep-18,75,68
Tempest 4000,PS4,Llamasoft,Action,No Online Multiplayer,E,17-Jul-18,75,48
Figment,Switch,Bedtime Digital Games,Action,No Online Multiplayer,T,28-Jun-18,75,75
Blade Strangers,Switch,Studio Saizensen,Action,Online Multiplayer,T,28-Aug-18,75,75
The Council - Episode 4: Burning Bridges,PS4,Big Bad Wolf,Adventure,No Online Multiplayer,M,25-Sep-18,75,61
Labyrinth of Refrain: Coven of Dusk,Switch,Nippon Ichi Software,Role-Playing,No Online Multiplayer,M,18-Sep-18,75,76
ONRUSH,PS4,Codemasters,Racing,,E10+,5-Jun-18,75,61
The Council - Episode 1: The Mad Ones,PS4,Big Bad Wolf,Adventure,No Online Multiplayer,M,13-Mar-18,75,74
Aegis Defenders,Switch,Humble Bundle,Role-Playing,No Online Multiplayer,E10+,8-Feb-18,75,76
LEGO DC Super-Villains,Switch,TT Games,Action Adventure,No Online Multiplayer,E10+,16-Oct-18,75,75
Labyrinth of Refrain: Coven of Dusk,PS4,Nippon Ichi Software,Role-Playing,No Online Multiplayer,M,18-Sep-18,75,67
Aqua Kitty UDX,Switch,Tikipod Limited,Action,No Online Multiplayer,E,15-Feb-18,75,77
Crossing Souls,PS4,Fourattic,Action Adventure,No Online Multiplayer,T,13-Feb-18,75,71
Full Metal Furies,XONE,Cellar Door Games,Action,Up to 4 ,E10+,17-Jan-18,75,62
Persona Dancing: Endless Night Collection,PS4,Atlus,Miscellaneous,No Online Multiplayer,T,4-Dec-18,75,69
Attack on Titan 2,PS4,Omega Force,Action,Up to 8 ,M,20-Mar-18,75,70
Ghost of a Tale,PC,"Ghost of a Tale, SeithCG",Fantasy,No Online Multiplayer,,13-Mar-18,75,82
Another World,Switch,The Digital Lounge,Action,No Online Multiplayer,T,9-Jul-18,75,75
NBA Live 19,XONE,"EA Sports, EA Tiburon",Sports,Up to 10 ,E,7-Sep-18,75,69
Nidhogg 2,Switch,Messhof,Action,Online Multiplayer,,22-Nov-18,75,75
Omensight,PC,Spearhead Games,Adventure,No Online Multiplayer,,15-May-18,75,69
Marvel's Spider-Man: Silver Lining,PS4,Insomniac Games,Action Adventure,,T,21-Dec-18,75,67
Shenmue I & II,PS4,"Sega, d3t Ltd",Miscellaneous,No Online Multiplayer,T,21-Aug-18,75,79
Pocket Rumble,Switch,Chucklefish,Action,Online Multiplayer,T,5-Jul-18,75,76
Total War: Arena,PC,Creative Assembly,Military,Online Multiplayer,,22-Feb-18,75,73
The Gardens Between,PS4,The Voxel Agents,Adventure,No Online Multiplayer,E,20-Sep-18,74,64
Pato Box,Switch,Bromio,Sports,No Online Multiplayer,T,9-Jul-18,74,75
Tricky Towers,Switch,WeirdBeard,Puzzle,No Online Multiplayer,,11-Oct-18,74,75
Minit,XONE,"JW, Kitty, Jukio, and Dom",Adventure,No Online Multiplayer,E,3-Apr-18,74,54
Furi,Switch,The Game Bakers,Action,No Online Multiplayer,M,11-Jan-18,74,75
