game,platform,developer,genre,number_players,rating,release_date,metascore,user_score
BlazBlue: Continuum Shift II,3DS,Arc System Works,Action,,T,31-May-11,64,62
Hydrophobia Prophecy,PC,Dark Energy Digital,Action Adventure,,M,9-May-11,64,60
Supreme Ruler: Cold War,PC,BattleGoat Studios,Strategy,16  Online,RP,19-Jul-11,63,68
The Baconing,PC,Hothead Games,Action,No Online Multiplayer,T,31-Aug-11,63,52
Harvest Moon 3D: The Tale of Two Towns,3DS,Marvelous Entertainment,Strategy,,E,1-Nov-11,63,64
Puzzle Agent 2,PC,Telltale Games,Miscellaneous,,,30-Jun-11,63,69
Mass Effect 2: Arrival,PC,BioWare,Role-Playing,,M,29-Mar-11,63,61
The Tiny Bang Story,PC,Colibri Games,Adventure,1 Player,,22-Apr-11,63,72
Let's Golf 3D,3DS,Gameloft,Sports,1月2日,E,28-Jul-11,62,65
Chantelise: A Tale of Two Sisters,PC,EasyGameStation,Role-Playing,,,29-Jul-11,62,70
Gabrielle's Ghostly Groove 3D,3DS,Santa Entertainment,Action,,E,4-Oct-11,62,74
Breach (2011),PC,Atomic Games,Action,,T,26-Jan-11,61,58
Rayman 3D,3DS,Ubisoft Casablanca,Action,,E,22-Mar-11,61,64
Hunted: The Demon's Forge,PC,InXile Entertainment,Action Adventure,2  Online,M,30-May-11,61,66
Cities XL 2012,PC,"Monte Cristo Multimedia, Monte Cristo",Strategy,,E,20-Oct-11,61,56
E.Y.E: Divine Cybermancy,PC,Streum On Studio,Role-Playing,,RP,29-Jul-11,61,69
Venetica,PC,Deck 13,Role-Playing,No Online Multiplayer,T,25-Jan-11,61,68
Samurai Warriors Chronicles,3DS,Omega Force,Action,No Online Multiplayer,T,27-Mar-11,61,78
Magicka: Vietnam,PC,Arrowhead Game Studios,Fantasy,,T,12-Apr-11,60,67
James Noir's Hollywood Crimes,3DS,Ubisoft,Miscellaneous,,T,1-Nov-11,60,67
Storm: Frontline Nation,PC,SimBin,Strategy,,,10-Jun-11,60,72
Off-Road Drive,PC,Avalon Style,Driving,,,29-Sep-11,60,65
Pyramids,3DS,Visual Impact,Miscellaneous,1 Player,E,27-Oct-11,60,60
IL-2 Sturmovik: Cliffs of Dover,PC,1C: Maddox Games,Simulation,64+  Online,T,26-Apr-11,60,71
Pac-Man & Galaga Dimensions,3DS,Namco Bandai Games,Action,,E10+,26-Jul-11,60,71
inMomentum,PC,Digital Arrow,Miscellaneous,,,31-Oct-11,59,52
F1 2011,3DS,Codemasters,Driving,,E,6-Dec-11,59,64
Faery: Legends of Avalon,PC,Spiders,Role-Playing,,E10+,6-May-11,59,66
Ignite,PC,Nemesys,Driving,,,28-Oct-11,59,60
Steel Diver,3DS,"Nintendo, Vitei",Action,,E10+,27-Mar-11,58,62
DualPenSports,3DS,Indies Zero ,Sports,,E10+,21-Jun-11,58,35
Cartoon Network: Punch Time Explosion,3DS,"Papaya Studios, Papaya Studio",Action,1 Player,E10+,2-Jun-11,58,57
The First Templar,PC,"Haemimont, Haemimont Games",Action Adventure,1 Player,T,12-May-11,57,59
3D Classics: Xevious,3DS,Arika,Action,,E,21-Jul-11,56,58
The Adventures of Tintin: The Game,3DS,Ubisoft Montpellier,Adventure,,E10+,6-Dec-11,56,52
APB: Reloaded,PC,"Reloaded Productions, Reloaded Games Inc., Reloaded Games",Role-Playing,,M,1-Dec-11,56,57
Pirates of Black Cove,PC,Nitro Games,Strategy,,T,2-Aug-11,56,58
Pokemon Rumble Blast,3DS,Ambrella,Action,1月2日,E10+,24-Oct-11,56,69
Edna & Harvey: The Breakout,PC,Daedalic Entertainment,Adventure,1 Player,T,3-Jan-11,56,65
Super Monkey Ball 3D,3DS,Sega,Action,,E,27-Mar-11,55,55
Thor: God of Thunder,3DS,Red Fly Studio,Action,1 Player,T,13-Sep-11,55,42
Rabbids Travel in Time 3D,3DS,Ubisoft,Action,1 Player,E,10-Apr-11,55,62
Crasher,PC,Punchers Impact,Simulation,,,28-Jan-11,55,70
The Cursed Crusade,PC,Kylotonn,Action Adventure,,M,25-Oct-11,55,57
King Arthur: Fallen Champions,PC,NeocoreGames,Strategy,,RP,16-Sep-11,54,50
Dream Trigger 3D,3DS,"Art Co., Ltd.",Action,2  Online,E,10-May-11,54,63
Duke Nukem Forever,PC,"Gearbox Software, 3D Realms",Action,1 Player,M,13-Jun-11,54,58
No Time to Explain,PC,"tiny Build GAMES, tinyBuild",Action,,,15-Aug-11,54,61
Jurassic Park: The Game,PC,Telltale Games,Adventure,No Online Multiplayer,T,15-Nov-11,54,46
Achron,PC,Hazardous Software ,Strategy,,,29-Aug-11,54,74
Frogger 3D,3DS,Alpha Unit,Action,4  Online,E,20-Sep-11,54,62
Doctor Lautrec and the Forgotten Knights,3DS,WinkySoft,Miscellaneous,No Online Multiplayer,E10+,13-Dec-11,53,61
A Game of Thrones: Genesis,PC,Cyanide,Strategy,,,28-Sep-11,53,41
Tom Clancy's Splinter Cell 3D,3DS,Ubisoft,Action Adventure,No Online Multiplayer,T,10-Apr-11,53,57
Alpha Polaris: A Horror Adventure Game,PC,Turmoil Games,Adventure,No Online Multiplayer,,24-Jun-11,52,46
The Sims 3,3DS,EA Games,Simulation,No Online Multiplayer,T,22-Mar-11,52,31
The Haunted: Hell's Reach,PC,ValuSoft,Action Adventure,,M,24-Oct-11,51,77
Cubic Ninja,3DS,AQ Interactive,Miscellaneous,,E,14-Jun-11,51,59
Call of Juarez: The Cartel,PC,Ubisoft,Action,,M,13-Sep-11,51,34
Captain America: Super Soldier,3DS,High Voltage Software,Action,,T,25-Oct-11,51,50
Spider-Man: Edge of Time,3DS,Beenox,Action,No Online Multiplayer,T,4-Oct-11,50,62
Afterfall: InSanity,PC,Nicolas Intoxicate,Role-Playing,,,25-Nov-11,50,59
Gods & Heroes: Rome Rising,PC,Heatwave Interactive,Role-Playing,Massively Multiplayer,T,21-Jun-11,50,62
Trapped Dead,PC,"Headup Games, Crenetic Studios",Strategy,,,25-Feb-11,50,47
Dungeons & Dragons: Daggerdale,PC,Bedlam Games,Role-Playing,,T,25-May-11,49,36
Garshasp: The Monster Slayer,PC,Dead Mage Studio,Action Adventure,1 Player,,9-May-11,49,64
Madden NFL Football,3DS,EA Tiburon,Sports,6  Online,E,22-Mar-11,49,53
Theatre of War 3: Korea,PC,"1C, 1C Company",Strategy,,,24-Mar-11,49,55
Bust-A-Move Universe,3DS,Arika,Puzzle,,E,27-Mar-11,49,48
Driver: Renegade,3DS,Ubisoft,Driving,,M,6-Sep-11,48,49
Grotesque Tactics 2: Dungeons & Donuts,PC,Silent Dreams,Strategy,,RP,21-Nov-11,48,65
Stronghold 3,PC,FireFly Studios,Strategy,1月8日,T,24-Oct-11,47,30
Dead Horde,PC,DNS Development,Action Adventure,,,27-Jul-11,45,51
Sword of the Stars II: Lords of Winter,PC,Kerberos Productions,Strategy,,T,28-Oct-11,44,46
Combat of Giants: Dinosaurs 3D,3DS,Ubisoft,Action Adventure,,E10+,27-Mar-11,44,53
Ghostbusters: Sanctum of Slime,PC,Behavior Studios,Action Adventure,,E10+,23-Mar-11,43,44
"Harry Potter and the Deathly Hallows, Part 2",PC,,Action,,T,12-Jul-11,43,46
Painkiller: Redemption,PC,DreamCatcher Interactive,Action,No Online Multiplayer,,25-Feb-11,43,49
Pac-Man Party 3D,3DS,Namco Bandai Games,Miscellaneous,,E,8-Nov-11,43,58
Asphalt 3D,3DS,Gameloft,Driving,,E10+,22-Mar-11,43,43
Arcania: Fall of Setarrif,PC,Spellbound,Role-Playing,No Online Multiplayer,T,24-Oct-11,41,19
Battle: Los Angeles,PC,Saber Interactive,Action,,T,11-Mar-11,38,32
3D Classics: Urban Champion,3DS,Arika,Action,,E10+,18-Aug-11,37,58
Shadow Harvest: Phantom Ops,PC,Black Lion Studios,Action,,M,5-Apr-11,34,27
The Asskickers,PC,AGO Games,Action,,,21-Jul-11,31,40
Transformers: Dark of the Moon - Stealth Force Edition,3DS,Behaviour Interactive,Action,1 Player,E10+,14-Jun-11,30,33
Postal III,PC,Running With Scissors,First-Person,,,21-Dec-11,24,30
FlatOut 3: Chaos & Destruction,PC,"Team6 Game Studios, Team 6 Games Studio",Driving,,,13-Dec-11,23,32
Persona 4 Golden,VITA,Atlus,Role-Playing,Up to 40 ,M,20-Nov-12,93,85
Dishonored,PC,Arkane Studios,Action Adventure,No Online Multiplayer,M,8-Oct-12,91,84
